WKT,id,lat,lon
POINT (111.993250445481 -3.30533206553283),0,-3.31,111.99325
POINT (111.993250445481 -3.30533206553283),1,-3.31,111.99325
POINT (111.821481459362 -3.51178455399709),2,-3.51,111.821481
POINT (111.821481459362 -3.51178455399709),3,-3.51,111.821481
POINT (112.090397082613 -3.24378042019067),4,-3.24,112.090397
POINT (112.090397082613 -3.24378042019067),5,-3.24,112.090397
POINT (112.006839035772 -3.36266261633078),6,-3.36,112.006839
POINT (112.006839035772 -3.36266261633078),7,-3.36,112.006839
POINT (111.844758058265 -3.1334463478385),8,-3.13,111.844758
POINT (111.844758058265 -3.1334463478385),9,-3.13,111.844758
POINT (112.003616305995 -3.41401369031319),10,-3.41,112.003616
POINT (112.003616305995 -3.41401369031319),11,-3.41,112.003616
POINT (111.839268223035 -2.91516999368762),12,-2.92,111.839268
POINT (111.839268223035 -2.91516999368762),13,-2.92,111.839268
POINT (111.960684753514 -2.97528814073435),14,-2.98,111.960684
POINT (111.960684753514 -2.97528814073435),15,-2.98,111.960684
POINT (112.096068312023 -3.19167325151906),16,-3.19,112.096068
POINT (112.096068312023 -3.19167325151906),17,-3.19,112.096068
POINT (111.923755696008 -3.27302903705404),18,-3.27,111.923755
POINT (111.923755696008 -3.27302903705404),19,-3.27,111.923755
POINT (111.950938144282 -2.73031106233113),20,-2.73,111.950938
POINT (111.950938144282 -2.73031106233113),21,-2.73,111.950938
POINT (112.126614074657 -3.02068362323871),22,-3.02,112.126614
POINT (112.126614074657 -3.02068362323871),23,-3.02,112.126614
POINT (111.914403295734 -2.85477287668104),24,-2.86,111.914403
POINT (111.914403295734 -2.85477287668104),25,-2.86,111.914403
POINT (111.991045049093 -2.644712002444),26,-2.65,111.991045
POINT (111.991045049093 -2.644712002444),27,-2.65,111.991045
POINT (112.160803780342 -3.17209483100694),28,-3.17,112.160803
POINT (112.160803780342 -3.17209483100694),29,-3.17,112.160803
POINT (111.934221403609 -2.84204509633339),30,-2.84,111.934221
POINT (111.934221403609 -2.84204509633339),31,-2.84,111.934221
POINT (111.823701103345 -3.49434149522124),32,-3.49,111.823701
POINT (111.823701103345 -3.49434149522124),33,-3.49,111.823701
POINT (111.976115648872 -3.30158555258211),34,-3.30,111.976115
POINT (111.976115648872 -3.30158555258211),35,-3.30,111.976115
POINT (111.847850610322 -2.86198329260602),36,-2.86,111.84785
POINT (111.847850610322 -2.86198329260602),37,-2.86,111.84785
POINT (112.055491933603 -2.70925351311712),38,-2.71,112.055491
POINT (112.055491933603 -2.70925351311712),39,-2.71,112.055491
POINT (111.949666971112 -3.45825268171177),40,-3.46,111.949666
POINT (111.949666971112 -3.45825268171177),41,-3.46,111.949666
POINT (111.94859799528 -3.41689106214104),42,-3.42,111.948597
POINT (111.94859799528 -3.41689106214104),43,-3.42,111.948597
POINT (111.917084303488 -2.72014105068752),44,-2.72,111.917084
POINT (111.917084303488 -2.72014105068752),45,-2.72,111.917084
POINT (111.95661592652 -3.20618963806994),46,-3.21,111.956615
POINT (111.95661592652 -3.20618963806994),47,-3.21,111.956615
POINT (112.11657339666 -3.20893660985694),48,-3.21,112.116573
POINT (112.11657339666 -3.20893660985694),49,-3.21,112.116573
POINT (111.943836891743 -3.34959850970292),50,-3.35,111.943836
POINT (111.943836891743 -3.34959850970292),51,-3.35,111.943836
POINT (111.996532918699 -3.41104291722292),52,-3.41,111.996532
POINT (111.996532918699 -3.41104291722292),53,-3.41,111.996532
POINT (112.152968061863 -3.01738839820351),54,-3.02,112.152968
POINT (112.152968061863 -3.01738839820351),55,-3.02,112.152968
POINT (111.905525147594 -2.65372153085262),56,-2.65,111.905525
POINT (111.905525147594 -2.65372153085262),57,-2.65,111.905525
POINT (112.028885037068 -3.06786917093557),58,-3.07,112.028885
POINT (112.028885037068 -3.06786917093557),59,-3.07,112.028885
POINT (111.977925211197 -3.02348798663851),60,-3.02,111.977925
POINT (111.977925211197 -3.02348798663851),61,-3.02,111.977925
POINT (112.031653764818 -3.41582537726744),62,-3.42,112.031653
POINT (112.031653764818 -3.41582537726744),63,-3.42,112.031653
POINT (112.18492204507 -3.09806235572759),64,-3.10,112.184922
POINT (112.18492204507 -3.09806235572759),65,-3.10,112.184922
POINT (112.045733969496 -2.91753380282913),66,-2.92,112.045733
POINT (112.045733969496 -2.91753380282913),67,-2.92,112.045733
POINT (111.879629556549 -3.24486039718575),68,-3.25,111.879629
POINT (111.879629556549 -3.24486039718575),69,-3.25,111.879629
POINT (112.053623438578 -2.99266827347756),70,-2.99,112.053623
POINT (112.053623438578 -2.99266827347756),71,-2.99,112.053623
POINT (111.969106160559 -3.27747052113261),72,-3.28,111.969106
POINT (111.969106160559 -3.27747052113261),73,-3.28,111.969106
POINT (111.976541432761 -2.89167692041768),74,-2.89,111.976541
POINT (111.976541432761 -2.89167692041768),75,-2.89,111.976541
POINT (111.87775450563 -3.33590174166896),76,-3.34,111.877754
POINT (111.87775450563 -3.33590174166896),77,-3.34,111.877754
POINT (111.912225831601 -2.98977357707498),78,-2.99,111.912225
POINT (111.912225831601 -2.98977357707498),79,-2.99,111.912225
POINT (111.932564921435 -3.17170199116011),80,-3.17,111.932564
POINT (111.932564921435 -3.17170199116011),81,-3.17,111.932564
POINT (111.982868122843 -2.64622987814685),82,-2.65,111.982868
POINT (111.982868122843 -2.64622987814685),83,-2.65,111.982868
POINT (112.078002946041 -3.06602090241532),84,-3.07,112.078002
POINT (112.078002946041 -3.06602090241532),85,-3.07,112.078002
POINT (112.073946640123 -3.22882770486139),86,-3.23,112.073946
POINT (112.073946640123 -3.22882770486139),87,-3.23,112.073946
POINT (112.088032468935 -3.15791645618354),88,-3.16,112.088032
POINT (112.088032468935 -3.15791645618354),89,-3.16,112.088032
POINT (112.005029606831 -3.37288239222713),90,-3.37,112.005029
POINT (112.005029606831 -3.37288239222713),91,-3.37,112.005029
POINT (111.977222092707 -3.26632030488669),92,-3.27,111.977222
POINT (111.977222092707 -3.26632030488669),93,-3.27,111.977222
POINT (112.05772273749 -3.34621654286223),94,-3.35,112.057722
POINT (112.05772273749 -3.34621654286223),95,-3.35,112.057722
POINT (112.155505887011 -3.2357991896299),96,-3.24,112.155505
POINT (112.155505887011 -3.2357991896299),97,-3.24,112.155505
POINT (112.173273433782 -2.90111281235714),98,-2.90,112.173273
POINT (112.173273433782 -2.90111281235714),99,-2.90,112.173273
POINT (111.967662297217 -3.36543751246278),100,-3.37,111.967662
POINT (111.967662297217 -3.36543751246278),101,-3.37,111.967662
POINT (111.95197403555 -2.67434901265145),102,-2.67,111.951974
POINT (111.95197403555 -2.67434901265145),103,-2.67,111.951974
POINT (112.015164857404 -3.03601822313037),104,-3.04,112.015164
POINT (112.015164857404 -3.03601822313037),105,-3.04,112.015164
POINT (112.057897187395 -2.71351860171419),106,-2.71,112.057897
POINT (112.057897187395 -2.71351860171419),107,-2.71,112.057897
POINT (111.976075305908 -2.9395558765589),108,-2.94,111.976075
POINT (111.976075305908 -2.9395558765589),109,-2.94,111.976075
POINT (111.933004572341 -3.05983350388299),110,-3.06,111.933004
POINT (111.933004572341 -3.05983350388299),111,-3.06,111.933004
POINT (112.097490388569 -2.89802627284452),112,-2.90,112.09749
POINT (112.097490388569 -2.89802627284452),113,-2.90,112.09749
POINT (111.768590605431 -2.87152073059982),114,-2.87,111.76859
